City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,puerto deseado,-47.7503,-65.8938,283.16,58,0,5.41,AR,Mon Oct  2 10:52:10 2023
138,kapuskasing,49.4169,-82.4331,293.2,83,75,7.72,CA,Mon Oct  2 10:52:10 2023
139,tolanaro,-25.0319,46.9987,292.19,82,75,5.14,MG,Mon Oct  2 10:52:10 2023
140,tazovsky,67.4667,78.7,279.51,96,100,7.34,RU,Mon Oct  2 10:52:10 2023
141,college,64.8569,-147.8028,274.3,91,100,2.57,US,Mon Oct  2 10:52:10 2023
142,bredasdorp,-34.5322,20.0403,295.98,44,0,3.73,ZA,Mon Oct  2 10:52:10 2023
143,uromi,6.7,6.3333,300.32,81,98,2.4,NG,Mon Oct  2 10:52:10 2023
144,aldama,22.9167,-98.0667,300.81,71,9,0.71,MX,Mon Oct  2 10:52:11 2023
145,keflavik,64.0049,-22.5624,284.1,71,0,12.35,IS,Mon Oct  2 10:52:11 2023
146,hamilton,39.1834,-84.5333,298.7,72,0,1.54,US,Mon Oct  2 10:51:14 2023
147,charles city,43.0664,-92.6724,297.58,61,0,5.14,US,Mon Oct  2 10:52:11 2023
148,ilulissat,69.2167,-51.1,272.16,51,0,1.54,GL,Mon Oct  2 10:52:11 2023
149,kikwit,-5.041,18.8162,302.54,60,36,3.8,CD,Mon Oct  2 10:52:11 2023
150,la paz,-16.5,-68.15,290.69,37,20,2.57,BO,Mon Oct  2 10:52:11 2023
151,port douglas,-16.4833,145.4667,296.07,86,34,4.42,AU,Mon Oct  2 10:50:31 2023
152,mulayjah,27.271,48.4242,306.45,22,0,4.22,SA,Mon Oct  2 10:52:11 2023
153,hatillo,18.4863,-66.8254,306.14,83,94,4.02,PR,Mon Oct  2 10:52:12 2023
154,nova sintra,14.8667,-24.7167,297.33,79,71,3.27,CV,Mon Oct  2 10:52:12 2023
155,chibougamau,49.9168,-74.3659,288.94,63,0,5.14,CA,Mon Oct  2 10:52:12 2023
156,mandiana,10.6333,-8.6833,303.94,59,100,1.34,GN,Mon Oct  2 10:52:12 2023
157,tura,25.5198,90.2201,296.63,97,34,1.75,IN,Mon Oct  2 10:52:12 2023
158,naze,28.3667,129.4833,298.66,81,88,9.25,JP,Mon Oct  2 10:52:12 2023
159,brookings,44.3114,-96.7984,297.25,63,100,5.14,US,Mon Oct  2 10:52:05 2023
160,bethel,41.3712,-73.414,295.74,69,0,3.09,US,Mon Oct  2 10:52:12 2023
161,nishinoomote,30.7333,131.0,298.08,58,9,8.2,JP,Mon Oct  2 10:52:12 2023
162,st. john's,47.5649,-52.7093,288.3,89,75,1.79,CA,Mon Oct  2 10:49:37 2023
163,taoudenni,22.6783,-3.9836,315.79,9,85,2.14,ML,Mon Oct  2 10:52:12 2023
164,pandan,14.0453,124.1694,301.26,80,100,6.25,PH,Mon Oct  2 10:52:13 2023
165,touros,-5.1989,-35.4608,303.09,57,46,7.11,BR,Mon Oct  2 10:52:13 2023
166,cidreira,-30.1811,-50.2056,289.88,59,0,4.36,BR,Mon Oct  2 10:52:13 2023
167,muravlenko,63.7898,74.523,283.24,83,100,9.39,RU,Mon Oct  2 10:52:13 2023
168,agua preta,-8.7075,-35.5306,304.95,40,2,3.45,BR,Mon Oct  2 10:52:13 2023
169,feres,40.8956,26.17,297.84,38,20,7.2,GR,Mon Oct  2 10:52:13 2023
170,hailar,49.2,119.7,284.39,43,100,2.71,CN,Mon Oct  2 10:52:13 2023
171,birjand,32.8663,59.2211,300.41,9,0,5.14,IR,Mon Oct  2 10:52:13 2023
172,ma'rib,15.4591,45.3253,302.88,13,0,4.33,YE,Mon Oct  2 10:52:14 2023
173,kununurra,-15.7667,128.7333,299.14,69,45,2.57,AU,Mon Oct  2 10:52:14 2023
174,tual,-5.6667,132.75,299.79,89,21,6.68,ID,Mon Oct  2 10:52:14 2023
175,altai,46.3722,96.2583,276.6,70,94,0.8,MN,Mon Oct  2 10:52:14 2023
176,wanning,18.8003,110.3967,300.03,89,51,1.88,CN,Mon Oct  2 10:52:14 2023
177,brisas de zicatela,15.8369,-97.0419,302.1,74,99,0.38,MX,Mon Oct  2 10:52:14 2023
178,jamestown,42.097,-79.2353,293.46,83,4,0.45,US,Mon Oct  2 10:48:51 2023
179,hesla,24.0667,85.8833,298.08,93,30,2.39,IN,Mon Oct  2 10:52:14 2023
180,richards bay,-28.783,32.0377,293.53,54,0,6.6,ZA,Mon Oct  2 10:49:12 2023
181,chincha alta,-13.4099,-76.1323,292.48,71,38,3.86,PE,Mon Oct  2 10:52:14 2023
182,firmat,-33.4594,-61.4832,294.68,31,93,5.5,AR,Mon Oct  2 10:52:15 2023
183,copala,16.65,-98.9833,301.71,76,97,0.4,MX,Mon Oct  2 10:52:15 2023
184,argostolion,38.1811,20.489,300.79,42,20,2.57,GR,Mon Oct  2 10:52:15 2023
185,kapa'a,22.0752,-159.319,296.14,87,40,0.0,US,Mon Oct  2 10:52:15 2023
186,matlang,10.8902,124.4554,301.08,81,100,4.65,PH,Mon Oct  2 10:52:15 2023
187,otacilio costa,-27.4831,-50.1219,296.58,42,23,2.01,BR,Mon Oct  2 10:52:15 2023
188,kampene,-3.6,26.6667,305.31,46,100,1.05,CD,Mon Oct  2 10:52:15 2023
189,lycksele,64.5954,18.6735,278.08,100,100,3.6,SE,Mon Oct  2 10:52:15 2023
190,yokadouma,3.5167,15.05,297.77,92,91,1.49,CM,Mon Oct  2 10:52:15 2023
191,vorgashor,67.5833,63.95,281.59,91,100,7.94,RU,Mon Oct  2 10:52:15 2023
192,natal,-5.795,-35.2094,304.27,58,40,6.17,BR,Mon Oct  2 10:52:16 2023
193,ust-nera,64.5667,143.2,271.33,82,31,1.07,RU,Mon Oct  2 10:52:16 2023
194,utrik,11.2278,169.8474,301.8,79,71,6.73,MH,Mon Oct  2 10:52:16 2023
195,wailua homesteads,22.0669,-159.378,295.39,87,40,0.0,US,Mon Oct  2 10:52:16 2023
196,kolonia town,6.964,158.206,302.13,73,22,1.75,FM,Mon Oct  2 10:52:16 2023
197,badr hunayn,23.7829,38.7905,307.39,42,1,3.02,SA,Mon Oct  2 10:52:16 2023
198,invercargill,-46.4,168.35,277.05,78,13,1.24,NZ,Mon Oct  2 10:52:16 2023
199,rouissat,31.9243,5.3502,304.19,29,0,7.2,DZ,Mon Oct  2 10:52:16 2023
200,tucumcari,35.1717,-103.725,292.56,88,100,5.66,US,Mon Oct  2 10:52:16 2023
201,berdigestyakh,62.0989,126.6992,277.2,77,100,0.45,RU,Mon Oct  2 10:52:17 2023
202,cheremkhovo,53.1561,103.0675,276.65,66,95,1.34,RU,Mon Oct  2 10:52:17 2023
203,cabo san lucas,22.8909,-109.9124,302.46,64,8,2.68,MX,Mon Oct  2 10:50:28 2023
204,hassi messaoud,31.6804,6.0729,304.07,30,0,5.14,DZ,Mon Oct  2 10:52:17 2023
205,lerwick,60.1545,-1.1494,286.15,76,33,10.45,GB,Mon Oct  2 10:52:17 2023
206,kayangel,8.0823,134.7173,301.5,75,89,1.63,PW,Mon Oct  2 10:52:17 2023
207,zhanaozen,43.3,52.8,294.54,26,4,5.35,KZ,Mon Oct  2 10:52:17 2023
208,hoeilaart,50.7667,4.4667,299.9,58,0,3.6,BE,Mon Oct  2 10:52:17 2023
209,riverton,40.5219,-111.9391,284.73,81,100,2.68,US,Mon Oct  2 10:50:17 2023
210,cide,41.8921,33.0044,291.95,80,78,2.66,TR,Mon Oct  2 10:52:18 2023
211,vernon,50.2581,-119.2691,281.82,83,57,2.06,CA,Mon Oct  2 10:47:58 2023
212,djambala,-2.5447,14.7533,303.86,47,31,2.44,CG,Mon Oct  2 10:52:18 2023
213,krutinka,56.0055,71.5113,283.74,72,0,4.52,RU,Mon Oct  2 10:52:18 2023
214,santa cruz de tenerife,28.4682,-16.2546,306.93,36,0,5.14,ES,Mon Oct  2 10:51:22 2023
215,wenchang,30.904,118.4887,293.95,74,100,3.59,CN,Mon Oct  2 10:52:18 2023
216,alice springs,-23.7,133.8833,304.9,15,47,6.17,AU,Mon Oct  2 10:52:18 2023
217,salekhard,66.53,66.6019,282.07,79,51,4.47,RU,Mon Oct  2 10:52:18 2023
218,al jubayl,27.0112,49.6583,305.12,54,0,4.01,SA,Mon Oct  2 10:52:18 2023
219,georgetown,5.4112,100.3354,301.12,89,20,0.0,MY,Mon Oct  2 10:50:21 2023
220,thunder bay,48.4001,-89.3168,289.14,100,75,2.57,CA,Mon Oct  2 10:47:54 2023
221,jezowe,50.3749,22.1275,293.85,55,99,2.09,PL,Mon Oct  2 10:52:19 2023
222,inirida,3.8653,-67.9239,305.1,62,100,1.13,CO,Mon Oct  2 10:52:19 2023
223,kiunga,-6.1219,141.2906,296.5,99,100,0.49,PG,Mon Oct  2 10:52:19 2023
224,selfoss,63.9331,-20.9971,283.17,60,81,7.06,IS,Mon Oct  2 10:52:19 2023
225,ziro,27.6333,93.8333,288.36,96,77,0.52,IN,Mon Oct  2 10:52:19 2023
226,ephraim,39.3597,-111.5863,279.96,98,100,2.36,US,Mon Oct  2 10:52:19 2023
227,kone,-21.0595,164.8658,291.62,86,46,2.41,NC,Mon Oct  2 10:52:19 2023
228,tingi,-11.3,35.0333,300.01,31,92,3.53,TZ,Mon Oct  2 10:52:19 2023
229,muisne,0.6,-80.0333,298.47,81,100,4.76,EC,Mon Oct  2 10:52:19 2023
230,acapulco de juarez,16.8634,-99.8901,300.05,74,75,3.09,MX,Mon Oct  2 10:52:20 2023
231,nadym,65.5333,72.5167,283.14,91,100,8.67,RU,Mon Oct  2 10:52:20 2023
232,mhamid,29.82,-5.72,306.86,14,86,7.22,MA,Mon Oct  2 10:52:20 2023
233,monrovia,6.3005,-10.7969,303.02,79,43,5.0,LR,Mon Oct  2 10:52:20 2023
234,ulladulla,-35.35,150.4667,289.13,82,99,4.51,AU,Mon Oct  2 10:52:20 2023
235,guaruja,-23.9931,-46.2564,295.87,26,100,2.06,BR,Mon Oct  2 10:52:20 2023
236,hasaki,35.7333,140.8333,291.37,53,56,4.51,JP,Mon Oct  2 10:52:20 2023
237,zemio,5.0314,25.1361,298.65,87,100,2.33,CF,Mon Oct  2 10:52:20 2023
238,leava,-14.3,-178.1667,299.43,76,92,9.95,WF,Mon Oct  2 10:52:21 2023
239,dudinka,69.4058,86.1778,269.61,83,100,5.36,RU,Mon Oct  2 10:52:21 2023
240,anadyr,64.75,177.4833,275.43,74,0,8.0,RU,Mon Oct  2 10:52:21 2023
241,namibe,-15.1961,12.1522,294.67,70,9,5.05,AO,Mon Oct  2 10:52:21 2023
242,demopolis,32.5176,-87.8364,297.12,64,0,1.54,US,Mon Oct  2 10:52:21 2023
243,sinan,34.8262,126.1086,290.21,54,92,3.19,KR,Mon Oct  2 10:52:21 2023
244,ayabaca,-4.6398,-79.7149,283.92,41,13,2.72,PE,Mon Oct  2 10:52:21 2023
245,willowmore,-33.2926,23.4895,301.22,12,0,5.21,ZA,Mon Oct  2 10:52:21 2023
246,la gi,10.6667,107.7833,298.19,93,100,4.06,VN,Mon Oct  2 10:52:22 2023
247,bangjun,39.9911,117.2628,289.42,54,90,1.3,CN,Mon Oct  2 10:52:22 2023
248,crucecita,-28.95,-58.9833,296.74,30,0,3.9,AR,Mon Oct  2 10:52:22 2023
249,gap,44.6667,6.0,293.06,32,8,2.7,FR,Mon Oct  2 10:52:22 2023
250,kyren,51.6828,102.1408,277.01,79,70,0.89,RU,Mon Oct  2 10:52:22 2023
251,bor,56.3567,44.0669,287.1,56,100,2.2,RU,Mon Oct  2 10:52:22 2023
252,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,87,100,8.0,RU,Mon Oct  2 10:52:22 2023
253,ciudad lazaro cardenas,17.9583,-102.2,302.02,78,91,1.13,MX,Mon Oct  2 10:52:22 2023
254,siwa oasis,29.2041,25.5195,303.01,29,71,4.08,EG,Mon Oct  2 10:52:23 2023
255,kalevala,65.2,31.1667,280.98,85,65,4.02,RU,Mon Oct  2 10:52:23 2023
256,la passe,45.5549,-0.8967,305.28,41,2,5.59,FR,Mon Oct  2 10:52:23 2023
257,necochea,-38.5473,-58.7368,288.74,57,84,6.04,AR,Mon Oct  2 10:52:23 2023
258,portland,45.5234,-122.6762,285.82,84,100,1.34,US,Mon Oct  2 10:52:23 2023
259,sanliurfa,37.2128,38.7817,296.08,36,88,1.13,TR,Mon Oct  2 10:52:23 2023
260,kourou,5.1552,-52.6478,305.18,57,79,5.1,GF,Mon Oct  2 10:52:23 2023
261,robore,-18.3333,-59.75,303.2,66,55,0.0,BO,Mon Oct  2 10:52:23 2023
262,manokwari,-0.8667,134.0833,298.79,84,83,0.85,ID,Mon Oct  2 10:49:21 2023
263,palmer,42.1584,-72.3287,294.77,59,40,4.63,US,Mon Oct  2 10:52:24 2023
264,usogorsk,63.4106,48.6872,280.35,86,100,3.98,RU,Mon Oct  2 10:52:24 2023
265,miches,18.9836,-69.0476,300.26,78,96,3.9,DO,Mon Oct  2 10:52:24 2023
266,tamandare,-8.7597,-35.1047,301.3,57,2,3.91,BR,Mon Oct  2 10:52:24 2023
267,bodaybo,57.8506,114.1933,272.41,93,94,0.88,RU,Mon Oct  2 10:52:24 2023
268,yinchuan,38.4681,106.2731,291.44,50,0,1.55,CN,Mon Oct  2 10:50:39 2023
269,taghazout,30.5426,-9.7112,310.58,30,68,6.22,MA,Mon Oct  2 10:52:24 2023
270,mana,5.6592,-53.7767,304.64,60,99,5.42,GF,Mon Oct  2 10:52:25 2023
